文本内容|实体关系1
They incorporated the immigrant flows into microsimulation |{[22,37],VBP},{[43,58],NN},Entity-Destination
I have always felt so relieved that Roy and the boys had left the creek |{[48,52],NN},{[66,71],VBP},Entity-Origin
The first report analyses the adaptation strategies of the EU member states|{[10,16],NN},{[41,51],NN},Message-Topic
Cook's discoveries prepared the way for establishment of a new penal colony by the colonial power |{[69,75],VBP},{[92,97],MD},Product-Producer
This process passes on a health gene to the next generation |{[32,36],NN},{[49,59],NN},Other
A telescope assists the eye chiefly in two ways|{[2,11],NN},{[24,27],NNS},Instrument-Agency
The boy accidentally went into the girl's bathroom |{[4,7],NN},{[42,50],DT},Entity-Destination
The document is stored in the proper folder as a text|{[4,12],MD},{[37,43],NN},Content-Container
Unfortunately they just had brief mentions and more pages were spent describing the clubs scene |{[52,57],DT},{[90,95],NN},Message-Topic
The map to the left shows a snapshot of weather conditions in selected towns across Italy|{[40,47],VBZ},{[48,58],VBP},Other
I reflected on this while passing a passel of pigeons parading on a Loop sidewalk the other day|{[46,53],NN},{[36,42],DT},Member-Collection
The retailers poured resources into promoting low-alcohol wine |{[21,30],NN},{[58,62],NN},Other
Fiscus was the treasury of the Roman emperor so-called because the money was stored in baskets |{[67,72],MD},{[87,94],DT},Content-Container
Hundreds of toxic chemicals were released into the atmosphere |{[18,27],VBP},{[51,61],JJ},Entity-Destination
The final part of the court is completed by the chapel  begun by Mary I in 1554 in memory of her father|{[10,14],DT},{[48,54],VBP},Other
 Mobile lost in the ocean was found in a cod belly |{[1,7],NN},{[45,50],NN},Content-Container
The flyer advertised a two-week workshop being conducted at the university this summer|{[4,9],NN},{[32,40],MD},Message-Topic
The hotel arose from the reconstruction of historical building|{[4,9],MD},{[25,39],NN},Other
This revised edition incorporates new research findings and advances in the treatment of genetic disorders including gene-directed therapies|{[13,20],NN},{[47,55],NN},Message-Topic
 Fish swim in a shoal  but they fall one by one|{[1,5],NN},{[16,21],NN},Member-Collection
All bookmarks have been exported to a single file |{[4,13],NN},{[45,49],NN},Entity-Destination
The team used the newly-developed nanoparticle to build therapies for treating individuals with cardiovascular disease|{[34,46],DT},{[4,8],VBZ},Instrument-Agency
Tobia made a stunning revelation in a phone call in September 2002|{[38,48],NN},{[22,32],NN},Message-Topic
It was also home to a bale of snapping turtles and a siege of great blue herons |{[73,79],NN},{[53,58],NN},Member-Collection
The indenter is pushed into the material  and both the load and displacement increase|{[4,12],VBP},{[32,40],DT},Entity-Destination
The latest issue of Five Bells has been sent to poet union members |{[11,16],VBP},{[59,66],NN},Entity-Destination
 Cruisers and large yachts have much more sophisticated fittings that that require more skills|{[56,64],NN},{[1,9],NN},Component-Whole
The accused killed the victim with a kirpan and separated the head from the body and threw it in a canal near Nabha|{[37,43],NN},{[4,11],JJ},Instrument-Agency
There are enough gills there to serve the oxygen demands of an entire shiver of whale sharks |{[86,92],VBZ},{[70,76],NN},Member-Collection
The inhabitants send messages to each other by placing the message in a capsule and placing the capsule in a message tube |{[72,79],DT},{[117,121],NN},Entity-Destination
The finished doll was made with stockings for the face and a baby sock for the body|{[32,41],NN},{[13,17],MD},Component-Whole
It is the document repository of extremely valuable archival documents illustrating the history of the Spanish Empire|{[61,70],MD},{[88,95],NN},Message-Topic
This all around immature nice guy is above all a choreographer  having devised the moves to the film adaptation of Hairspray|{[49,62],VBP},{[83,88],MD},Other
The state has assembled a $230 million incentive package to lure the project which could mean as many as 9000 jobs|{[4,9],VBZ},{[49,56],DT},Other
When you strike someone with a bottle full of carbonated beverage  apparently a vacuum is created and then quickly refills which is somehow capable of breaking the glass|{[46,65],DT},{[31,37],NN},Content-Container
Welding wire is coiled in a pail and used as an electrode in an automatic or semiautomatic welding operation|{[8,12],NN},{[28,32],DT},Content-Container
The stong earthquake caused a blackout on the sound stage and short-circuited some of the neon-tubed violins|{[10,20],DT},{[30,38],NN},Cause-Effect
Various configurations have been illustrated in the drawings |{[52,60],VBZ},{[8,22],VBP},Message-Topic
Avci was the head of the chief of the police in Diyarbakir between 1984 and 1992|{[13,17],VBZ},{[38,44],IN},Member-Collection
The series comprises some re-issues of the previous books as well as new titles |{[73,79],NN},{[4,10],NN},Component-Whole
The agitating students also put up a barricade on the Dhaka-Mymensingh highway disrupting vehicular movement for about two hours from 10:30am to 12:30pm|{[37,46],DT},{[14,22],NN},Product-Producer
The solution comprises the creation of a decentralized Internet host name resolution system with flat hierarchy on the basis of Metrized Small World data structure|{[4,12],MD},{[27,35],VBP},Other
Tension Release by Mega Food contains Sensoril a clinically studied extract of a Ashwagandha that helps to inhibit fatigue and physical tension from everyday stress |{[158,164],NN},{[136,143],NN},Cause-Effect
With an innate desire to know and to do mankind has progressed past placing a dead fish in every hill of corn  beans and squash|{[97,101],NN},{[105,109],VBP},Other
Mayans charted Venus's motion across the sky poured chocolate into jars and interred them with the dead|{[52,61],VBP},{[67,71],DT},Entity-Destination
The elephant descended from an aquatic animal |{[4,12],NN},{[39,45],NN},Entity-Origin
A special meeting of the shareholders of Lydia Diamond was held on December 23rd 2009 and the Sale was approved by the shareholders|{[10,17],NN},{[25,37],VBZ},Other
He inserted a needle into the tattoo machine |{[14,20],NN},{[37,44],DT},Entity-Destination
The aim of this study therefore was to examine the embryo quality obtained from vitrified warmed oocytes in a standard infertility population|{[58,65],VBZ},{[97,104],MD},Other
The letter was sent from group to group of the dispersed believers to try and build them up to encourage them to fill them with hope|{[4,10],NN},{[25,30],NN},Entity-Destination
 Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK as well as in the developed and the developing world|{[1,23],DT},{[56,65],NN},Cause-Effect
The level surface closest to the MSS known as the geoid  departs from an ellipsoid by about 100 m in each direction|{[50,55],NN},{[73,82],NN},Other
After soaking them overnight we slipped the beans into a fairly wide-necked wine flask that's been peeled of its straw wrapper|{[44,49],VBZ},{[81,86],VBZ},Entity-Destination
 Dizziness from nasal and sinus pressure usually can be seen on a good nasal examination and a CT of the sinuses|{[26,40],NN},{[1,10],NN},Cause-Effect
Students actually benefit from study through an STS approach |{[52,60],NN},{[31,36],NN},Instrument-Agency
In the 2006 campaign the governor won the Hispanic vote with appearances such as one at Casa de Maryland|{[25,33],MD},{[61,72],NN},Other
The bomb was hidden in a handcart near the Mar Toma Church also known as Church of St Thomas in the city of Mosul|{[4,8],NN},{[25,33],DT},Content-Container
She does however remember walking through campus when a chipper salesman gave her a fistful of bright orange coupons offering her and her friends complimentary slices of pizza|{[109,116],VBP},{[84,91],NN},Member-Collection
I have imported an audio book into the software |{[25,29],NN},{[39,47],MD},Entity-Destination
The soldiers moved into the deep jungle |{[4,12],MD},{[33,39],JJ},Entity-Destination
The chair of the corporation  at the time of election shall be either a former President the retiring President or a member not emeritus of the Corporation|{[4,9],VBP},{[17,28],VBP},Other
The hole was found in a piece of the package that was ripped off near its edge|{[4,8],MD},{[24,29],NN},Other
The mummy originally was inside a wooden coffin  which had deteriorated|{[4,9],JJ},{[34,47],MD},Content-Container
This meeting establishes the laws which govern the church and the priorities for the coming year|{[5,12],NN},{[29,33],DT},Cause-Effect
The game was sealed in the original packing  unopened and untouched|{[4,8],DT},{[36,43],DT},Content-Container
The oculomotor nerve rests in a cistern within the sinus roof|{[15,20],JJ},{[32,39],NN},Component-Whole
A baby girl was murdered and her body stuffed in a sack and dumped in a water body in the capital's Pallabi area|{[33,37],NN},{[51,55],DT},Entity-Destination
The new model is moving into new territory with revisions|{[8,13],MD},{[33,42],NN},Entity-Destination
He also pointed out that on the Sabbath the priests broke the commandment with priestly work |{[44,51],NN},{[88,92],MD},Other
The sagas developed from the oral culture of the Viking Age|{[4,9],DT},{[29,41],VBZ},Entity-Origin
Hogarth also decorated the walls of the hospital with works of art donated by contemporary British artists|{[27,32],DT},{[40,48],MD},Component-Whole
They are storing the solution in a non-food refrigerator to avoid degradation and transfer what is immediately needed to a spray bottle for manual cleaning|{[21,29],MD},{[44,56],NN},Content-Container
In a desperate attempt the company poured money into the project |{[42,47],MD},{[57,64],NN},Entity-Destination
My grandparents rest beneath a stone that shows a farmer plowing with a mule  an emblem of the way they began their lives together back in the 1930s|{[72,76],JJ},{[50,56],DT},Instrument-Agency
The temperature at which flower buds are injured depends|{[32,36],JJ},{[25,31],NN},Component-Whole
Her clothes were in a box with no lid sitting on the next higher step|{[4,11],VBP},{[22,25],NN},Content-Container
The venter encloses a venter canal cell and an egg cell|{[35,39],VBP},{[4,10],NN},Component-Whole
